"Now Shopping by","Ora acquista per"
"Placed on <span class=""no-link"">%created_at</span>","Effettuato il <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Aggiornamento del tuo ordine da %store_name"
"Your %store_name order has shipped","Il tuo ordine su %store_name è stato spedito"
"Your shipping confirmation is below. Thank you again for your business.","La conferma di spedizione è qua sotto. Grazie ancora per l'acquisto."
"Your Shipment #%shipment_id for Order #%order_id","La tua spedizione #%shipment_id per l'ordine #%order_id"
"Update to your %store_name shipment","Aggiornamento sulla tua spedizione da %store_name"
"Account Dashboard","Dashboard Account"
"Address Book",Rubrica
"Account Information","Informazioni sull'account"
"About Us","Chi siamo"
"Customer Service","Assistenza Clienti"
"My Account","Il mio Account"
Summary,Riepilogo
Settings,Impostazioni
"Elasticsearch Server Port","Porta server Elasticsearch"
"Elasticsearch Index Prefix","Prefisso indice Elasticsearch"
"Enable Elasticsearch HTTP Auth","Abilita Elasticsearch HTTP Auth"
"Test Connection","Test di connessione"
"Are you sure you want to delete this gift registry?","Sei sicuro di voler eliminare questa lista regalo?"
"Delete Registry","Elimina lista"
"Gift Registry Entity","Entità lista regalo"
"Product ID","ID prodotto"
Product,Prodotto
SKU,Cod.Art.
Price,Prezzo
Quantity,Quantità
Total,Totale
"Add to Gift Registry","Aggiungi una lista regalo"
"Are you sure you want to add these products?","Sei sicuro di voler aggiungere questi prodotti?"
"Update Items and Quantities","Aggiornamento articoli e quantità"
Requested,Richiesto
Fulfilled,Soddisfatto
Note,Nota
Action,Azione
"Update Quantity","Aggiorna quantità"
"Remove Item","Rimuovi elemento"
"Sharing Information","Informazioni di condivisione"
Emails,Email
"Send From","Invia da"
Message,Messaggio
"Share Gift Registry","Condividi lista regalo"
"Gift Registry","Lista regalo"
Event,Evento
Registrants,Iscritti
"Event Date","Data dell'evento"
"Total Items","Totale Articoli"
Remaining,Rimanenti
Public,Pubblico
Yes,Sì
Website,"Sito Web"
"Gift Registry Types","Tipi lista regalo"
"Add Gift Registry Type","Aggiungi tipo lista regalo"
Save,Salva
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Se elimini questo tipo di lista regalo, si elimineranno anche le liste cliente usato per questo tipo. Vuoi continuare?"
Delete,Elimina
"Save and Continue Edit","Salva e continua modifica"
"Edit '%1' Gift Registry Type","Modifica ""%1"" tipo lista regalo"
"New Gift Registry Type","Nuovo tipo lista regalo"
"Add Attribute","Aggiungi attributo"
"Delete Attribute","Elimina l'attributo"
"Use Default Value","Usa il valore predefinito"
Short,Breve
Medium,Medio
Long,Lungo
Full,Completo
"Add New Option","Aggiungi nuova opzione"
"Delete Option","Elimina Opzione"
"General Information","Informazioni Generali"
Code,Codice
Label,Etichetta
"Sort Order",Ordinamento
"Is Listed","E' elencato"
Attributes,Attributi
[GLOBAL],[GLOBALE]
"[STORE VIEW]","[VISTA NEGOZIO]"
None,Nessuno
"New Address","Nuovo Indirizzo"
"Edit Gift Registry","Modifica lista regalo"
"Create Gift Registry","Crea lista regalo"
State/Province,Provincia/Regione
"Please select a region, state or province","Seleziona la regione, stato o provincia"
"Please Select",Seleziona
"View Gift Registry %1","Mostra lista regalo %1"
"Share '%1' Gift Registry","Condividi la lista regalo '%1'"
"-- Please select --","-- Seleziona --"
From,Dal
To,Al
"Gift Registry Search","Cerca lista regalo"
"Select Search Type","Cerca tipo"
Registrant,Dichiarante
"Registry owner","Proprietario lista"
"Please correct the  gift registry ID.","Correggi l'ID lista regalo."
"Please correct the gift registry entity.","Correggi l'entity della lista regalo."
"Shopping cart items have been added to gift registry.","Gli elementi del carrello sono stati aggiunti alla lista regalo."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","I prodotti virtuali, scaricabili o gift card virtuali non possono essere aggiunti alle liste regali."
"We can't add shopping cart items to the gift registry right now.","Non è possibile aggiungere gli elementi del carrello alla lista regalo in questo momento."
"You deleted this gift registry entity.","Hai eliminato questa entità lista regalo."
"We couldn't delete this gift registry entity.","Non è possibile eliminare l'entità della lista regalo."
Customers,Clienti
"Edit '%1' Gift Registry","Modifica la lista regalo '%1'"
"Something went wrong while editing the gift registry.","Qualcosa è andato storto durante la modifica della lista regalo."
"Please enter at least one email address.","Inserisci almeno un indirizzo email."
"%1 email(s) were sent.","%1 email sono stati inviati."
"We couldn't send '%1 of %2 emails.","Non è possibile inviare %1 di %2 email."
"You updated this gift registry.","Hai aggiornato la lista regalo."
"We can't update these gift registry items right now.","Non è possibile aggiornare questi elementi della lista regalo in questo momento."
"You deleted the gift registry type.","Hai eliminato il tipo di lista regalo."
"We couldn't delete this gift registry type.","Non è possibile eliminare il tipo di lista regalo."
"Edit Type","Modifica tipo"
"New Type","Nuovo tipo"
"You saved the gift registry type.","Hai salvato il tipo di lista regalo."
"We can't save this gift registry type right now.","Non è possibile salvare il tipo di lista regalo in questo momento."
"Page not found.","Pagina non trovata."
"Please correct the gift registry ID.","Coreggi l'ID della lista regalo."
"%1 item(s) have been added to the gift registry.","%1 elementi sono stati aggiunti alla lista regalo."
"We have nothing to add to this gift registry.","Non c'è nulla da aggiungere alla lista regalo."
"You can't add virtual products, digital products or gift cards to gift registries.","Non è possibile aggiungere prodotti virtuali, prodotti digitali o gift cards alle liste regali."
"You deleted this gift registry.","Hai eliminato questa lista regali."
"Something went wrong while deleting the gift registry.","Qualcosa è andato storto durante l'eliminazione della lista regalo."
"Please correct the gift registry.","Correggi la lista regalo."
"Incorrect Type","Tipo non corretto"
"Please correct the registrant data.","Correggi i dati del dichiarante."
"Address is empty.","L'indirizzo è vuoto."
"Please select an address.","Seleziona un indirizzo."
"Please correct the address.","Correggi l'indirizzo."
"You saved this gift registry.","Hai salvato la lista regalo."
"We couldn't save this gift registry.","Non è possibile salvare questa lista regalo."
"Gift Registry Items","Elementi della lista regalo"
"Something went wrong while sending email(s).","Qualcosa è andato storto durante l'invio email."
"Something went wrong while sharing the gift registry.","Qualcosa è andato storto durante la condivisione della lista reglo."
"You updated the gift registry items.","Hai aggiornato gli elementi della lista regalo."
"We couldn't update the gift registry.","Non è possibile aggiornare la lista regalo."
"The wish list item has been added to this gift registry.","L'elemento della lista desideri è stato aggiunto alla lista regalo."
"We couldn’t add your wish list items to your gift registry.","Non è possibile aggiungere gli elementi della lista desideri alla lista regalo."
"Please enter correct search options.","Correggi le opzioni di ricerca."
"Please enter at least 2 letters of the first name.","Inserisci almeno 2 caratteri per il nome."
"Please enter at least 2 letters of the last name.","Inserisci almeno 2 caratteri per il cognome."
"Please enter a valid email address.","Prego inserisci un indirizzo email valido."
"Please enter a gift registry ID.","Inserisci un ID lista regalo."
"Please enter the quantity of items to add to cart.","Inserisci la quantità di elementi da aggiungere al carrello."
"We can't add this item to your shopping cart right now.","Al momento è impossibile aggiungere questo articolo al carrello."
"Gift Registry Info","Info lista regalo"
"Please enter the ""%1"".","Inserisci ""%1""."
"Please enter the correct ""%1"".","Inserisci ""%1"" corretto."
"Custom Types","Tipi personalizzati"
"Static Types","Tipi statici"
label,etichetta
"Product has required options.","Il prodotto ha delle opzioni obbligatorie."
"You need to enter sender data.","È necessario immettere i dati del mittente."
"Please add invitees.","Aggiungere gli invitati."
"You cannot send emails to more than %1 recipients at once","Non puoi inviare email a più di %1 destinatari in una sola volta"
"Please enter a valid invitee email address.","Inserisci un indirizzo email invitato valido."
"Please enter an invitee name.","Inserisci il nome di un invitato."
"You shared the gift registry for %1 emails.","Hai condiviso la lista regalo su %1 email."
"We couldn't share the registry.","Non è possibile condividere la lista."
Private,Privato
Inactive,Inattivo
Active,Attiva
"Please enter the title.","Inserisci il titolo."
"Please enter the message.","Inserisci un messaggio."
"Please enter correct the Privacy setting.","Inserisci le impostazioni corrette della privacy."
"We cannot specify the product.","Non è possibile specificare il prodotto."
"Please correct the  gift registry item quantity.","Correggi la quantità di articoli nella lista regalo."
"Please correct the gift registry item ID.","Correggi l'ID dell'elemento della lista regalo."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","La quantità del prodotto ""%1"" aggiunto al carrello eccede la quantità voluta dal proprietario della lista regalo. La quantità aggiunta è stata regolata per soddisfare le restanti quantità %2."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Le quantità esistenti del prodotto ""%1"" nel carrello sono state sostituite con le quantità %2 appena richieste."
"This product(s) is out of stock.","Questi prodotti non sono disponibili."
"Please correct the product for adding the item to the quote.","Correggi il prodotto per aggiungere l'elemento nel preventivo."
"Please correct the item option format.","Correggi il formato delle opzioni dell'elemento."
"An item option with code %1 already exists.","Un'opzione dell'articolo con il codice %1 esiste già."
New,Nuovo
"Please enter the first name.","Inserisci il nome."
"Please enter the last name.","Inserisci il cognome."
"Please enter a valid email address(for example, daniel@x.com).","Inserisci un indirizzo email valido (ad esempio, daniel@x.com)."
"Ship to the recipient's address.","Spedisci all'indirizzo del destinatario."
"-- All --","-- Tutti --"
"Unknown gift registry identifier","Identificatore della lista regalo sconosciuto"
"All Forms","Tutti i form"
"Registrant Name Search","Cerca per nome dichiarante"
"Registrant Email Search","Cerca per email dichiarante"
"Gift Registry ID Search","Cerca per ID lista regalo"
Type,Tipo
Owner,Proprietario
"Created on","Creato il"
"Shipping Address","Indirizzo di Spedizione"
"Shopping Cart Items","Prodotti nel carrello"
"New Attribute","Nuovo attributo"
"Input Type","Tipo di input"
"Attribute Group","Gruppo attributi"
"Is Required","È obbligatorio"
"Is Searcheable","È ricercabile"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","È stato trovato un attributo per questo tipo di input statico già nel tipo della lista regalo. Seleziona un tipo input differente."
"Show Region","Mostra Provincia"
"Date Format","Formato data"
"Is Default","È predefinito"
"Select a shipping address from your address book or enter a new address.","Seleziona un indirizzo di spedizione dalla rubrica oppure inserisci un nuovo indirizzo."
Company,Azienda
Address,Indirizzo
"Street Address",Indirizzo
"Street Address %1","Indirizzo %1"
City,Città
"Please select a region, state or province.","Seleziona la regione, stato o provincia."
"Zip/Postal Code",CAP
Country,Nazione
"Phone Number","Numero di telefono"
"Add All To Gift Registry","Aggiungi tutto alla lista regalo"
"Ship to registrant's address","Spedisci all'indirizzo del dichiarante"
"Use the gift registry shipping address","Usa l'indirizzo di spedizione della lista regalo"
"Added On","Aggiunto il"
Qty,Qtà
"Qty Fulfilled","Qty soddisfatte"
"Update Gift Registry","Aggiorna lista regalo"
Back,Indietro
"This gift registry has no items.","Questa lista regalo non ha elementi."
"Created On","Creato su"
"Manage Items","Gestione articoli"
Share,Condividi
Edit,Modifica
"You haven't created a gift registry yet.","Non hai ancora creato una lista regalo."
"Add New","Aggiungi Nuovo"
"First Name",Nome
Name,Nome
"* Required Fields","* Campi obbligatori"
Sender,Mittente
Invitee,Invitato
"Maximum %1 email addresses.","Massimo %1 Indirizzi email."
"Add Invitee","Aggiungi invitati"
"Gift Registry Type","Tipo lista regalo"
"Please select a gift registry type.","Seleziona un tipo di lista regalo."
Next,Successivo
"Last Name",Cognome
"Registrant Information","Informazioni dichiarante"
"Maximum %1 registrants.","Massimo %1 dichiaranti."
"Add Registrant","Aggiungi dichiarante"
Type:,Tipo:
"Privacy Settings","Impostazioni privacy"
Status,Stato
"Gift Registry Items Updated","Articoli della lista regalo aggiornati"
"Product Name","Nome prodotto"
"Requested Quantity","Quantità richiesta"
"Fulfilled Quantity","Quantità soddisfatte"
"Total Fulfilled Quantity","Quantità totale soddisfatta"
"Remaining Quantity","Quantità rimanente"
Quantity:,Quantità:
"Customize and Add to Gift Registry","Personalizza e Aggiungi alla lista regalo"
"This won't take long . . .","Non ci vorrà molto . . ."
"Required Fields","Campi obbligatori"
"Search Options","Opzioni di ricerca"
"For better search results, first choose a gift registry type. By default, we search all registry types.","Per migliori risultati di ricerca, scegli prima di tutto un tipo di lista regalo. Di default vengono ricercati tutti i tipi di lista."
"Type Specific Options","Opzioni specifiche tipo"
Search,Cerca
"Registrant Email","Email dichiarante"
"Gift Registry ID","ID lista regalo"
"Search Results","Risultati Ricerca"
Actions,Azioni
View,Mostra
"Your search returned no results.","La ricerca non ha prodotto risultati."
"Please enter at least two letters of the name.","Inserisci almeno due lettere del nome."
"Search By","Cerca per"
"Please enter at least two letters.","Inserisci almeno due lettere."
"Unit Price","Prezzo unitario"
"Add to Cart","Aggiungi al Carrello"
"Gift Registry created at %store_name","Registro Regali creato a %store_name"
"You have successfully created the new gift registry ""%registry_name"".","Hai creato correttamente la nuova lista regalo ""%registry_name""."
"Your Gift Registry Message","Il tuo messaggio della lista regalo"
"Now you can add products to your gift registry.","Ora è possibile aggiungere i prodotti alla tua lista regalo."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Basta navigare su <a href=""%store_url"">%store_name</a> e aggiungere i prodotti desiderati al carrello o alla lista desideri."
"You can then add the products to your registry from your shopping cart or wish list page.","È quindi possibile aggiungere i prodotti alla tua lista dal carrello o dalla pagina della lista desideri."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","Si può anche condividere con amici e la famiglia accedendo al tuo account e visitando la scheda della lista regalo."
"Or you can email the following link and gift registry ID to them:","O si può inviare a loro una email con il seguente link e l'ID della lista regalo:"
"Registry Location:","Location lista:"
"Registry ID:","ID lista:"
"Gift Registry shared at %store_name","Registro Regali condiviso a %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Puoi visualizzare e comprare articoli da questa lista dei regali su <a href='%account_url'>%store_name</a>."
"Gift Registry:","Lista regalo:"
"Created For:","Creato per:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","Puoi creare la tua lista dei regali su <a href='%account_url'>%store_name</a> e condividerla con amici e familiari."
"Gift Registry updated at %store_name","Registro Regali aggiornata a %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","I seguenti prodotti sono stati acquistati dalla lista regalo ""%registry_name"":"
"You can sign in to your account to view more details about this gift registry.","Puoi accedere al tuo account per visualizzare ulteriori dettagli su questa lista regalo."
"Ship to Recipient Address","Spedire all'indirizzo del destinatario"
"Ship Here","Spedisci qui"
"Recipient Address","Indirizzo destinatario"
"Use gift registry shipping address","Usa indirizzo di spedizione della lista regalo"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","L'unico posto per cambiare il numero di articoli da regalo nella pagina info lista regalo o direttamente nel tuo carrello."
Text,Testo
"Gift Registry Details","Dettagli lista dei regali"
Role,Ruolo
"Event Data","Data dell'evento"
"Event Information","Informazioni sull'evento"
"Event Country","Paese evento"
"My event special","Il mio evento speciale"
"My special attribute","Il mio attributo speciale"
"Gift Registry Section","Sezione Archivio Regali"
"General Options","Opzioni Generali"
"Enable Gift Registry","Abilita lista regalo"
"Maximum Registrants","Dichiaranti massimi"
"Owner Notification","Notifica al proprietario"
"Email Template","Template email"
"Email Sender","Mittente email"
"Gift Registry Sharing","Condivisione lista regalo"
"Maximum Sent Emails Threshold","Soglia massima email inviate"
"Gift Registry Update","Aggiorna lista regalo"
Select,Seleziona
Date,Data
"Event Region Id","Id regione evento"
"Event Region Text","Testo regione evento"
"Event Location","Luogo dell'evento"
"Gift Registry Quick Search Form","Modulo di ricerca rapida lista regalo"
"Quick Search Form Types","Tipi di modulo di ricerca rapida"
"Default Template","Template predefinito"
Listed,Elencati
"You can view and purchase items from this gift registry at <a href=""%account_url"">%store_name</a>.","È possibile visualizzare e acquistare elementi da questa lista regalo a <a href=""%account_url"">%store_name</a>."
"You can create your own gift registry on <a href=""%account_url"">%store_name</a> and share it with friends and family.","È possibile creare la propria lista regalo su <a href=""%account_url"">%store_name</a> e condividerlo con amici e familiari."
"some name","qualche nome"
"Payment Type","Modalità di pagamento"
"Transaction Type","Tipo di Transazione"
"Transaction ID","ID Transazione"
"CVV Verification","Verifica CVV"
"Address Verification","Verifica indirizzo"
"Email Verification","Controllo email"
"Mobile Verification","Verifica mobile"
"Phone Verification","Verifica telefonica"
"Card number","Numero della carta"
"Expiration Date","Data di scadenza"
"Response Code","Codice Risposta"
"Fraud Message","Messaggio di frode"
"Approve Message","Approva messaggio"
"Sorry, but something went wrong","Siamo spiacenti, ma qualcosa è andato storto"
"Wrong response type","Tipo risposta sbagliata"
"Transaction has been declined. Please try again later.","La transazione è stata rifiutata. Riprova più tardi."
"Authorize and Capture","Autorizza e trattieni"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Number","Numero carta di credito"
"Card Verification Number","Numero di verifica della carta"
Enabled,Abilitato
"Connection Type","Tipo di connessione"
Title,Titolo
"Sandbox Mode","Modalità sandbox"
"Payment Action","Azione di pagamento"
"Credit Card Types","Tipi di carta di credito"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Transaction has been declined, please, try again later.","La transazione è stata rifiutata, riprova più tardi."
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Issue Number","Numero di emissione"
"Start Date","Data Inizio"
"Condition type ""%1"" is not allowed","Non è consentito il tipo di condizione ""%1"""
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Il parametro di configurazione ""formElement"" è obbligatorio per ""%1"" campo."
"Remove %1","Rimuovi %1"
"Add New %1","Aggiungi nuovo %1"
"New %1","Nuovo %1"
"Please select item(s).","Seleziona elementi."
"Invalid XML in file %1:\n%2","XML non valido nel file %1:\n%2"
"Unsupported bookmark action.","Azione di segnalibro non supportato."
"UI component could not be rendered because of system exception","Un componente UI non può essere renderizzato a causa di un'eccezione di sistema"
"Parameter ""class"" must be present.","Parametro ""classe"" deve essere presente."
"Parameter ""sortOrder"" must be present.","Parametro ""sortOrder"" deve essere presente."
"Invalid UI Component element name: '%1'","Nome dell'elemento Componente Interfaccia Utente non valido: '%1'"
"Bookmark with id ""%1"" does not exist.","Il segnalibro con id ""%1"" non esiste."
"Invalid UI Component element name: ''","Nome elemento Componente Interfaccia Utente: '"
Cancel,Annulla
"Changes have been made to this section that have not been saved.","Sono state apportate modifiche a questa sezione che non sono state salvate."
"This tab contains invalid data. Please resolve this before saving.","Questa scheda contiene dati non validi. Risolvi il problema prima di salvare."
Assign,Assegna
Options,Opzioni
"records found","record trovati"
selected,selezionato
of,di
Filters,Filtri
Add,Aggiungi
"Something went wrong.","Qualcosa è andato storto."
Done,Fine
options,opzioni
Select...,Seleziona...
Selected,Selezionato
"Select All","Seleziona tutto"
"Deselect All","Deseleziona tutto"
"Select All on This Page","Seleziona tutto di questa pagina"
"Deselect All on This Page","Deseleziona tutto della pagina"
On,Attivo
Off,"Non attivo"
"Go to Details Page","Vai alla pagina dei dettagli"
"New View","Nuova visualizzazione"
"Default View","Visualizzazione predefinita"
"${ $.visible } out of ${ $.total } visible","${ $.visible } su ${ $.total } visibili"
"You have successfully saved your edits.","Le tue modifiche sono state salvate correttamente."
"There are {placeholder} messages requires your attention.","Ci sono {placeholder} messaggi che richiedono la tua attenzione."
from,da
to,a
"You haven't selected any items!","Non hai selezionato alcun elemento!"
"Search by keyword","Ricerca per parola chiave"
Keyword,"Parola chiave"
"Select Date","Seleziona la data"
"Please enter more or equal than {0} symbols.","Inserisci un numero di simboli maggiori o uguali a {0}."
"Please enter less or equal than {0} symbols.","Inserisci un numero di simboli minore o uguale a {0}."
"Please enter {0} words or less.","Inserisci {0} parole o meno."
"Please enter at least {0} words.","Inserisci almeno {0} parole."
"Please enter between {0} and {1} words.","Inserisci un numero di parole tra {0} e {1}."
"Letters or punctuation only please","Solo lettere o segni di punteggiatura"
"Letters, numbers, spaces or underscores only please","Solo lettere, numeri, spazi e underscore"
"Letters only please","Solo lettere"
"No white space please","Nessuno spazio bianco"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Il tuo codice postale deve essere nell'intervallo da 902xx-xxxx a 905-xx-xxxx"
"A positive or negative non-decimal number please","Inserisci un numero positivo o negativo non decimale"
"The specified vehicle identification number (VIN) is invalid.","Il numero di identificazione del veicolo (VIN) specificato non è valido."
"Please enter a correct date","Inserisci una data corretta"
"Please enter a valid time, between 00:00 and 23:59","Inserisci un'ora valida, dalle 00:00 alle 23.59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Inserisci un'ora valida, dalle 00:00 am alle 12:00 pm"
"Please specify a valid phone number","Specifica un numero di telefono valido"
"Please specify a valid mobile number","Specifica un numero di cellulare valido"
"Please enter at least {0} characters","Inserisci almeno {0} caratteri"
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid IP v4 address.","Inserisci un indirizzo IP v4 valido."
"Please enter a valid IP v6 address.","Inserisci un indirizzo IP v6 valido."
"Invalid format.","Formato non valido."
"HTML tags are not allowed.","I tag HTML non sono ammessi."
"Please select an option.","Selezionare un'opzione."
"Empty Value.","Valore vuoto."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) in questo campo, e il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9), spazi e ""#"" in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Inserisci un numero di fax valido (Esempio: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Inserisci un indirizzo email valido (Esempio: johndoe@dominio.it)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Inserisci 6 o più caratteri. Gli spazi iniziali o finali verranno ignorati."
"Please enter 7 or more characters, using both numeric and alphabetic.","Inserisci 7 o più caratteri, utilizzando sia caratteri numerici che alfabetici."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La lunghezza minima di questo campo deve essere uguale o maggiore di %1 caratteri. Spazi iniziali e finali verranno ignorati."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Il numero minimo di diverse classi di caratteri nella password è %1. Classi di caratteri: lettere minuscole, lettere maiuscole, cifre e caratteri speciali."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Inserisci una URL valida. È necessario specificare il protocollo (http://, https:// o ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Inserisci una URL valida. Ad esempio http://www.example.com o www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Inserisci un identificatore XML valido (Esempio: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Inserisci un numero di previdenza sociale valido (Esempio: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Inserisci un Cap valido (Esempio: 09032)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Usa questo formato data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 marzo, 2006."
"Please enter a valid $ amount. For example $100.00.","Inserisci un importo € valido. Per esempio €100,00."
"Please enter a number 0 or greater in this field.","Inserire un numero maggiore o uguale a 0 in questo campo."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Inserisci una lunghezza CSS valida (Esempio: 100px, 77pt, 20em, .5ex o 50%)."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid integer in this field.","Inserire un numero intero valido in questo campo."
"The value is not within the specified range.","Il valore non è compreso nell'intervallo specificato."
"Please use letters only (a-z or A-Z) in this field.","Usa solo lettere (a-z o A-Z) in questo campo."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) in questo campo, e il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Utilizza solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Nessuno spazio o altri caratteri sono consentiti."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Inserisci una URL key valida (Esempio: ""pagina-esempio"", ""pagina-esempio.html"" o ""altrolivello/pagina-esempio"")."
"Please enter a valid zip code.","Inserire un Cap valido."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please enter a value less than or equal to {0}.","Inserisci un valore minore o uguale a {0}."
